movie,year,timeMin,imdb,metascore,votes,us_grossMillions
Brazil,1985,132,7.9,84,184716,9.93
The Royal Tenenbaums,2001,110,7.6,76,261288,52.36
Mississippi Burning,1988,128,7.8,65,86038,34.6
Escape from Alcatraz,1979,112,7.6,76,117529,43
Hero,2002,120,7.9,85,172245,53.71
Empire of the Sun,1987,153,7.7,62,113403,22.24
Sleepers,1996,147,7.6,49,183997,49.1
Barry Lyndon,1975,185,8.1,89,145677,
Togo,2019,113,8,69,31237,
Butch Cassidy and the Sundance Kid,1969,110,8,66,199398,102.31
Stalker,1979,162,8.2,0,112353,0.23
Dark City,1998,100,7.6,66,185437,14.38
Das Boot,1981,149,8.3,86,226873,11.49
Philadelphia,1993,125,7.7,66,219990,77.32
The Last Emperor,1987,163,7.7,76,92052,43.98
Toy Story 2,1999,92,7.9,88,515363,245.85
Papillon,1973,151,8,58,119606,53.27
Road to Perdition,2002,117,7.7,72,242676,104.45
Serpico,1973,130,7.7,87,106960,29.8
Isle of Dogs,2018,101,7.9,82,133249,32.02
Mr. Nobody,2009,141,7.8,63,212138,0
Lethal Weapon,1987,109,7.6,68,232646,65.21
Cinema Paradiso,1988,155,8.5,80,223672,11.99
Wild Tales,2014,122,8.1,77,171020,3.11
As Good as It Gets,1997,139,7.7,67,270395,148.48
Before Sunset,2004,80,8,90,229428,5.82
The Jungle Book,1967,78,7.6,65,162723,141.84
"Paris, Texas",1984,145,8.1,78,86919,2.18
In the Mood for Love,2000,98,8.1,85,119537,2.73
"Blood In, Blood Out",1993,180,8,47,28363,4.5
The Girl with the Dragon Tattoo,2009,152,7.8,76,206284,10.1
The Apartment,1960,125,8.3,94,159468,18.6
On the Waterfront,1954,108,8.1,91,138856,9.6
End of Watch,2012,109,7.6,68,224757,41
Monty Python's Life of Brian,1979,94,8.1,77,359901,20.05
Spartacus,1960,197,7.9,87,122177,30
Singin' in the Rain,1952,103,8.3,99,213610,8.82
Metropolis,1927,153,8.3,98,156406,1.24
Before Midnight,2013,109,7.9,94,136978,8.11
This Is Spinal Tap,1984,82,7.9,92,126836,0.19
The Great Escape,1963,172,8.2,86,220072,12.1
